Main Image Loaded: /binary/FoxDec/foxdec/examples/sqlite3/sqlite3, Base Address: 0x56318863b000
Section: .gnu.hash, Address: 0x7f98a4efd320, Size: 9796
Section: .dynsym, Address: 0x7f98a4eff968, Size: 29088
Section: .dynstr, Address: 0x7f98a4f06b08, Size: 10288
Section: .gnu.version, Address: 0x7f98a4f09338, Size: 2424
Section: .gnu.version_d, Address: 0x7f98a4f09cb0, Size: 524
Section: .gnu.version_r, Address: 0x7f98a4f09ec0, Size: 96
Section: .rela.dyn, Address: 0x7f98a4f09f20, Size: 312
Section: .rela.plt, Address: 0x7f98a4f0a058, Size: 648
Section: .init, Address: 0x7f98a4f0b000, Size: 27
Section: .plt, Address: 0x7f98a4f0b020, Size: 448
Section: .plt.got, Address: 0x7f98a4f0b1e0, Size: 16
Section: .plt.sec, Address: 0x7f98a4f0b1f0, Size: 432
Section: .text, Address: 0x7f98a4f0b3a0, Size: 505128
Section: .fini, Address: 0x7f98a4f868c8, Size: 13
Section: .rodata, Address: 0x7f98a4f87000, Size: 320656
Section: .eh_frame_hdr, Address: 0x7f98a4fd5490, Size: 6940
Section: .eh_frame, Address: 0x7f98a4fd6fb0, Size: 34204
Section: .hash, Address: 0x7f98a4fdf550, Size: 8852
Section: .init_array, Address: 0x7f98a4fe2d80, Size: 8
Section: .fini_array, Address: 0x7f98a4fe2d88, Size: 8
Section: .dynamic, Address: 0x7f98a4fe2d90, Size: 544
Section: .got, Address: 0x7f98a4fe2fb0, Size: 80
Section: .got.plt, Address: 0x7f98a4fe3000, Size: 240
Section: .data, Address: 0x7f98a4fe30f0, Size: 12
Section: .bss, Address: 0x7f98a4fe30fc, Size: 12
Section: .gnu_debuglink, Address: 0x0, Size: 52
Section: .shstrtab, Address: 0x0, Size: 288
Section: , Address: 0x0, Size: 0
Section: .note.gnu.property, Address: 0x7f98a4ee12a8, Size: 32
Section: .note.gnu.build-id, Address: 0x7f98a4ee12c8, Size: 36
Section: .gnu.hash, Address: 0x7f98a4ee12f0, Size: 924
Section: .dynsym, Address: 0x7f98a4ee1690, Size: 2880
Section: .dynstr, Address: 0x7f98a4ee21d0, Size: 1422
Section: .gnu.version, Address: 0x7f98a4ee275e, Size: 240
Section: .gnu.version_d, Address: 0x7f98a4ee2850, Size: 488
Section: .gnu.version_r, Address: 0x7f98a4ee2a38, Size: 80
Section: .rela.dyn, Address: 0x7f98a4ee2a88, Size: 768
Section: .rela.plt, Address: 0x7f98a4ee2d88, Size: 432
Section: .init, Address: 0x7f98a4ee3000, Size: 27
Section: .plt, Address: 0x7f98a4ee3020, Size: 304
Section: .plt.got, Address: 0x7f98a4ee3150, Size: 16
Section: .plt.sec, Address: 0x7f98a4ee3160, Size: 288
Section: .text, Address: 0x7f98a4ee3280, Size: 67988
Section: .fini, Address: 0x7f98a4ef3c14, Size: 13
Section: .rodata, Address: 0x7f98a4ef4000, Size: 17029
Section: .eh_frame_hdr, Address: 0x7f98a4ef8288, Size: 980
Section: .eh_frame, Address: 0x7f98a4ef8660, Size: 6164
Section: .init_array, Address: 0x7f98a4efbc90, Size: 8
Section: .fini_array, Address: 0x7f98a4efbc98, Size: 8
Section: .data.rel.ro, Address: 0x7f98a4efbca0, Size: 336
Section: .dynamic, Address: 0x7f98a4efbdf0, Size: 496
Section: .got, Address: 0x7f98a4efbfe0, Size: 32
Section: .got.plt, Address: 0x7f98a4efc000, Size: 168
Section: .data, Address: 0x7f98a4efc0a8, Size: 8
Section: .bss, Address: 0x7f98a4efc0b0, Size: 8
Section: .gnu_debuglink, Address: 0x0, Size: 52
Section: .shstrtab, Address: 0x0, Size: 287
Section: , Address: 0x0, Size: 0
Section: .note.gnu.property, Address: 0x7f98a4c85350, Size: 48
Section: .note.gnu.build-id, Address: 0x7f98a4c85380, Size: 36
Section: .note.ABI-tag, Address: 0x7f98a4c853a4, Size: 32
Section: .gnu.hash, Address: 0x7f98a4c853c8, Size: 18180
Section: .dynsym, Address: 0x7f98a4c89ad0, Size: 72576
Section: .dynstr, Address: 0x7f98a4c9b650, Size: 32533
Section: .gnu.version, Address: 0x7f98a4ca3566, Size: 6048
Section: .gnu.version_d, Address: 0x7f98a4ca4d08, Size: 1316
Section: .gnu.version_r, Address: 0x7f98a4ca5230, Size: 64
Section: .rela.dyn, Address: 0x7f98a4ca5270, Size: 30816
Section: .rela.plt, Address: 0x7f98a4cacad0, Size: 1296
Section: .plt, Address: 0x7f98a4cad000, Size: 880
Section: .plt.got, Address: 0x7f98a4cad370, Size: 32
Section: .plt.sec, Address: 0x7f98a4cad390, Size: 864
Section: .text, Address: 0x7f98a4cad700, Size: 1647165
Section: __libc_freeres_fn, Address: 0x7f98a4e3f940, Size: 6657
Section: .rodata, Address: 0x7f98a4e42000, Size: 159272
Section: .stapsdt.base, Address: 0x7f98a4e68e28, Size: 1
Section: .interp, Address: 0x7f98a4e68e30, Size: 28
Section: .eh_frame_hdr, Address: 0x7f98a4e68e4c, Size: 28884
Section: .eh_frame, Address: 0x7f98a4e6ff20, Size: 152776
Section: .gcc_except_table, Address: 0x7f98a4e953e8, Size: 1546
Section: .hash, Address: 0x7f98a4e959f8, Size: 16172
Section: .tdata, Address: 0x7f98a4e9b8f0, Size: 16
Section: .tbss, Address: 0x7f98a4e9b900, Size: 128
Section: .init_array, Address: 0x7f98a4e9b900, Size: 16
Section: __libc_subfreeres, Address: 0x7f98a4e9b910, Size: 232
Section: __libc_atexit, Address: 0x7f98a4e9b9f8, Size: 8
Section: __libc_IO_vtables, Address: 0x7f98a4e9ba00, Size: 3432
Section: .data.rel.ro, Address: 0x7f98a4e9c780, Size: 9280
Section: .dynamic, Address: 0x7f98a4e9ebc0, Size: 464
Section: .got, Address: 0x7f98a4e9ed90, Size: 624
Section: .got.plt, Address: 0x7f98a4e9f000, Size: 456
Section: .data, Address: 0x7f98a4e9f1e0, Size: 5800
Section: .bss, Address: 0x7f98a4ea08a0, Size: 54704
Section: .note.stapsdt, Address: 0x0, Size: 7276
Section: .gnu.warning.sigstack, Address: 0x0, Size: 77
Section: .gnu.warning.sigreturn, Address: 0x0, Size: 50
Section: .gnu.warning.siggetmask, Address: 0x0, Size: 57
Section: .gnu.warning.tmpnam, Address: 0x0, Size: 55
Section: .gnu.warning.tmpnam_r, Address: 0x0, Size: 57
Section: .gnu.warning.tempnam, Address: 0x0, Size: 56
Section: .gnu.warning.gets, Address: 0x0, Size: 57
Section: .gnu.warning.pthread_attr_getstackaddr, Address: 0x0, Size: 82
Section: .gnu.warning.pthread_attr_setstackaddr, Address: 0x0, Size: 82
Section: .gnu.warning.getpw, Address: 0x0, Size: 58
Section: .gnu.warning.re_max_failures, Address: 0x0, Size: 61
Section: .gnu.warning.getwd, Address: 0x0, Size: 122
Section: .gnu.warning.revoke, Address: 0x0, Size: 47
Section: .gnu.warning.mktemp, Address: 0x0, Size: 68
Section: .gnu.warning.gtty, Address: 0x0, Size: 45
Section: .gnu.warning.stty, Address: 0x0, Size: 45
Section: .gnu.warning.chflags, Address: 0x0, Size: 48
Section: .gnu.warning.fchflags, Address: 0x0, Size: 49
Section: .gnu.warning.__compat_bdflush, Address: 0x0, Size: 57
Section: .gnu.warning.__gets_chk, Address: 0x0, Size: 57
Section: .gnu.warning.inet6_option_space, Address: 0x0, Size: 60
Section: .gnu.warning.inet6_option_init, Address: 0x0, Size: 59
Section: .gnu.warning.inet6_option_append, Address: 0x0, Size: 61
Section: .gnu.warning.inet6_option_alloc, Address: 0x0, Size: 60
Section: .gnu.warning.inet6_option_next, Address: 0x0, Size: 59
Section: .gnu.warning.inet6_option_find, Address: 0x0, Size: 59
Section: .gnu.warning.setlogin, Address: 0x0, Size: 49
Section: .gnu_debuglink, Address: 0x0, Size: 52
Section: .shstrtab, Address: 0x0, Size: 1092
Section: , Address: 0x0, Size: 0
Section: .note.gnu.property, Address: 0x7f98a4c3d2a8, Size: 32
Section: .note.gnu.build-id, Address: 0x7f98a4c3d2c8, Size: 36
Section: .gnu.hash, Address: 0x7f98a4c3d2f0, Size: 2108
Section: .dynsym, Address: 0x7f98a4c3db30, Size: 7848
Section: .dynstr, Address: 0x7f98a4c3f9d8, Size: 4160
Section: .gnu.version, Address: 0x7f98a4c40a18, Size: 654
Section: .gnu.version_d, Address: 0x7f98a4c40ca8, Size: 1048
Section: .gnu.version_r, Address: 0x7f98a4c410c0, Size: 112
Section: .rela.dyn, Address: 0x7f98a4c41130, Size: 36720
Section: .rela.plt, Address: 0x7f98a4c4a0a0, Size: 1392
Section: .init, Address: 0x7f98a4c4b000, Size: 27
Section: .plt, Address: 0x7f98a4c4b020, Size: 944
Section: .plt.got, Address: 0x7f98a4c4b3d0, Size: 16
Section: .plt.sec, Address: 0x7f98a4c4b3e0, Size: 928
Section: .text, Address: 0x7f98a4c4b780, Size: 64027
Section: .fini, Address: 0x7f98a4c5b19c, Size: 13
Section: .rodata, Address: 0x7f98a4c5c000, Size: 43200
Section: .eh_frame_hdr, Address: 0x7f98a4c668c0, Size: 1932
Section: .eh_frame, Address: 0x7f98a4c67050, Size: 9792
Section: .init_array, Address: 0x7f98a4c6ab90, Size: 8
Section: .fini_array, Address: 0x7f98a4c6ab98, Size: 8
Section: .data.rel.ro, Address: 0x7f98a4c6aba0, Size: 12152
Section: .dynamic, Address: 0x7f98a4c6db18, Size: 528
Section: .got, Address: 0x7f98a4c6dd28, Size: 728
Section: .data, Address: 0x7f98a4c6e000, Size: 1184
Section: .bss, Address: 0x7f98a4c6e4a0, Size: 1152
Section: .gnu_debugaltlink, Address: 0x0, Size: 73
Section: .gnu_debuglink, Address: 0x0, Size: 52
Section: .shstrtab, Address: 0x0, Size: 296
# RIP, MemAddr, RSP
0x129b1, 0x7ffde69f0e98, 0x7ffde69f0ea0
0x129b2, 0x7ffde69f0e90, 0x7ffde69f0e98
0x129bf, 0x7ffde69f0e88, 0x7ffde69f0e90
0x11024, 0x7ffde69f0d90, 0x7ffde69f0d98
0x11026, 0x7ffde69f0d88, 0x7ffde69f0d90
0x11028, 0x7ffde69f0d80, 0x7ffde69f0d88
0x1102a, 0x7ffde69f0d78, 0x7ffde69f0d80
0x1102c, 0x7ffde69f0d70, 0x7ffde69f0d78
0x1102d, 0x7ffde69f0d68, 0x7ffde69f0d70
0x11035, 0x7ffde69efd68, 0x7ffde69efd68
0x11051, 0x7ffde69f0d58, 0x7ffde69ef800
0x11067, 0x7ffde69ef848, 0x7ffde69ef800
0x11075, 0x7ffde69ef7f8, 0x7ffde69ef800
0x1107c, 0x7ffde69ef7f8, 0x7ffde69ef800
0x11086, 0x5631887c75e0, 0x7ffde69ef800
0x1108c, 0x7ffde69ef7f8, 0x7ffde69ef800
0x11098, 0x7ffde69ef7f8, 0x7ffde69ef800
0x110db, 0x7ffde69ef828, 0x7ffde69ef800
0x110e3, 0x7ffde69ef850, 0x7ffde69ef800
0x110e3, 0x7ffde69ef858, 0x7ffde69ef800
0x110e3, 0x7ffde69ef860, 0x7ffde69ef800
0x110e3, 0x7ffde69ef868, 0x7ffde69ef800
0x110e3, 0x7ffde69ef870, 0x7ffde69ef800
0x110e3, 0x7ffde69ef878, 0x7ffde69ef800
0x110e3, 0x7ffde69ef880, 0x7ffde69ef800
0x110e3, 0x7ffde69ef888, 0x7ffde69ef800
0x110e3, 0x7ffde69ef890, 0x7ffde69ef800
0x110e3, 0x7ffde69ef898, 0x7ffde69ef800
0x110e3, 0x7ffde69ef8a0, 0x7ffde69ef800
0x110e3, 0x7ffde69ef8a8, 0x7ffde69ef800
0x110e3, 0x7ffde69ef8b0, 0x7ffde69ef800
0x110e3, 0x7ffde69ef8b8, 0x7ffde69ef800
0x110e3, 0x7ffde69ef8c0, 0x7ffde69ef800
0x110e3, 0x7ffde69ef8c8, 0x7ffde69ef800
0x110e3, 0x7ffde69ef8d0, 0x7ffde69ef800
0x110e3, 0x7ffde69ef8d8, 0x7ffde69ef800
0x110e3, 0x7ffde69ef8e0, 0x7ffde69ef800
