Main Image Loaded: /binary/FoxDec/foxdec/examples/zip/zip, Base Address: 0x5653eff58000
0xda85, 0x7ffe06195208, 0x7ffe06195210
0xda8e, 0x7ffe06195208, 0x7ffe06195210
0xda93, 0x5653eff8d068, 0x7ffe06195210
0xdaa5, 0x7ffe06195208, 0x7ffe06195210
0xde1b, 0x7ffe06195208, 0x7ffe06195210
0xde24, 0x7ffe06195208, 0x7ffe06195210
0xde29, 0x5653eff8d060, 0x7ffe06195210
0xde3f, 0x7ffe06195208, 0x7ffe06195210
0x8c38, 0x7ffe06195238, 0x7ffe06195210
0x8c57, 0x7ffe0619527c, 0x7ffe06195210
0x8c5f, 0x7ffe06195238, 0x7ffe06195210
0x80b2, 0x7ffe06195220, 0x7ffe06195210
0x80be, 0x7ffe06195230, 0x7ffe06195210
0x80c6, 0x7ffe06195240, 0x7ffe06195210
0x868a, 0x7ffe06195208, 0x7ffe06195210
0x8696, 0x7ffe06195208, 0x7ffe06195210
0x869b, 0x7ffe06195220, 0x7ffe06195210
0x86b5, 0x7ffe06195208, 0x7ffe06195210
0x8cb8, 0x7ffe06195210, 0x7ffe06195210
0xa828, 0x7ffe06195208, 0x7ffe06195210
0xa877, 0x7ffe06195208, 0x7ffe06195210
0x1d1b4, 0x7ffe06195200, 0x7ffe06195208
0x1d1b6, 0x7ffe061951f8, 0x7ffe06195200
0x1d1bf, 0x7ffe061951f0, 0x7ffe061951f8
0x1d1c0, 0x7ffe061951e8, 0x7ffe061951f0
0x1d1d0, 0x7ffe061951e8, 0x7ffe061951f0
0x1d1dc, 0x7ffe061951e8, 0x7ffe061951f0
0x1d1ef, 0x7ffe061951e8, 0x7ffe061951f0
0x1d1fc, 0x5653f1443b48, 0x7ffe061951f0
0x1d204, 0x5653f1443b40, 0x7ffe061951f0
0x1d230, 0x5653eff8bb80, 0x7ffe061951f0
0x1d214, 0x5653eff8d2b0, 0x7ffe061951f0
0x1d21c, 0x5653eff8d2a8, 0x7ffe061951f8
0xdd03, 0x7ffe06195270, 0x7ffe06195210
0xdd08, 0x7ffe06195238, 0x7ffe06195210
0x80b2, 0x7ffe06195220, 0x7ffe06195210
0x80be, 0x7ffe06195230, 0x7ffe06195210
0x80c6, 0x7ffe06195240, 0x7ffe06195210
0xd35d, 0x7ffe06195210, 0x7ffe06195210
0xd36a, 0x7ffe06195210, 0x7ffe06195210
0xa603, 0x5653eff8bbcc, 0x7ffe06195210
0x9ade, 0x7ffe06195208, 0x7ffe06195210
0x9b1f, 0x7ffe06195208, 0x7ffe06195210
0x9b32, 0x7ffe06195208, 0x7ffe06195210
0x9c7e, 0x7ffe06195208, 0x7ffe06195210
0x13080, 0x7ffe06195200, 0x7ffe06195208
0x13084, 0x7ffe061951f8, 0x7ffe06195200
0x13086, 0x7ffe061951f0, 0x7ffe061951f8
0x13088, 0x7ffe061951e8, 0x7ffe061951f0
0x1308a, 0x7ffe061951e0, 0x7ffe061951e8
0x1308b, 0x7ffe061951d8, 0x7ffe061951e0
0x130a3, 0x7ffe061951c8, 0x7ffe06195110
0x130ad, 0x5653eff8d272, 0x7ffe06195110
0x130b4, 0x5653eff8d0d8, 0x7ffe06195110
0x130bf, 0x5653eff8d0a0, 0x7ffe06195110
0x130ca, 0x5653eff8d298, 0x7ffe06195110
0x130d5, 0x5653eff8d0f0, 0x7ffe06195110
0x130f4, 0x7ffe06195108, 0x7ffe06195110
0x13190, 0x7ffe06195108, 0x7ffe06195110
0x131a8, 0x5653eff8d0f0, 0x7ffe06195110
0x1325c, 0x7ffe06195108, 0x7ffe06195110
0x13281, 0x7ffe06195108, 0x7ffe06195110
0x13286, 0x5653eff8d070, 0x7ffe06195110
0x132a5, 0x7ffe06195108, 0x7ffe06195110
0x1369a, 0x7ffe06195108, 0x7ffe06195110
0x132d9, 0x7ffe06195108, 0x7ffe06195110
0xff60, 0x7ffe06195100, 0x7ffe06195108
0xff62, 0x7ffe061950f8, 0x7ffe06195100
0xff66, 0x7ffe061950f0, 0x7ffe061950f8
0xff7e, 0x7ffe061950e8, 0x7ffe061950e0
0xff85, 0x7ffe061950e4, 0x7ffe061950e0
0xff8d, 0x7ffe061950d8, 0x7ffe061950e0
0xff99, 0x7ffe061950d8, 0x7ffe061950e0
0xfe90, 0x7ffe061950d0, 0x7ffe061950d8
0xfe94, 0x7ffe061950c8, 0x7ffe061950d0
0xfeb5, 0x5653eff8a2c0, 0x7ffe061950d0
0xfebc, 0x7ffe061950c8, 0x7ffe061950d0
0xfef3, 0x5653eff8a2c1, 0x7ffe061950d0
0xfefa, 0x7ffe061950c8, 0x7ffe061950d0
0xff11, 0x5653eff8a2c2, 0x7ffe061950d0
0xff17, 0x7ffe061950c8, 0x7ffe061950d0
0xff2b, 0x5653eff8a2c3, 0x7ffe061950d0
0xff8d, 0x7ffe061950d8, 0x7ffe061950e0
0xff99, 0x7ffe061950d8, 0x7ffe061950e0
0xfe90, 0x7ffe061950d0, 0x7ffe061950d8
0xfe94, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfeb5, 0x5653eff8a2c0, 0x7ffe061950d0
0xfebc, 0x7ffe061950c8, 0x7ffe061950d0
0xfed0, 0x7ffe061950c8, 0x7ffe061950d0
0xfed8, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
0xfea3, 0x7ffe061950c8, 0x7ffe061950d0
