Main Image Loaded: /binary/FoxDec/foxdec/examples/du/du, Base Address: 0x55bbeef4b000
0x9bed, 0x55bbef9a1380, 0x7fffad58aaf0
0x9c02, 0x7fffad58aae8, 0x7fffad58aaf0
0x9c07, 0x55bbef9a1370, 0x7fffad58aaf0
0x9c14, 0x55bbef9a13a0, 0x7fffad58aaf0
0x9c1c, 0x55bbef9a13a8, 0x7fffad58aaf0
0x9c21, 0x55bbef9a1378, 0x7fffad58aaf0
0x9c26, 0x55bbef9a1388, 0x7fffad58aaf0
0x9c2f, 0x55bbef9a1390, 0x7fffad58aaf0
0x9c38, 0x55bbef9a13b0, 0x7fffad58aaf0
0x9c3d, 0x55bbef9a13b8, 0x7fffad58aaf0
0x6139, 0x55bbef9a1350, 0x7fffad58ab30
0x6142, 0x55bbef9a1358, 0x7fffad58ab30
0x614b, 0x55bbef9a1360, 0x7fffad58ab30
0x434e, 0x55bbeef77198, 0x7fffad58ab40
0x4370, 0x7fffad58ab4c, 0x7fffad58ab40
0x4380, 0x7fffad58ab4c, 0x7fffad58ab40
0x4385, 0x7fffad58ab64, 0x7fffad58ab40
0x4391, 0x7fffad58ab78, 0x7fffad58ab40
0x4396, 0x7fffad58ab48, 0x7fffad58ab40
0x43a7, 0x7fffad58ab38, 0x7fffad58ab40
0x5e54, 0x7fffad58ab30, 0x7fffad58ab38
0x5e58, 0x7fffad58ab28, 0x7fffad58ab30
0x5ea8, 0x7fffad58ab8c, 0x7fffad58ab20
0x5eae, 0x55bbef9a1338, 0x7fffad58ab20
0x44f6, 0x55bbeef77110, 0x7fffad58ab40
0x44fc, 0x7fffad58ab38, 0x7fffad58ab40
0xe56e, 0x7fffad58ab28, 0x7fffad58ab30
0x10a04, 0x7fffad58ab20, 0x7fffad58ab28
0x10a06, 0x7fffad58ab18, 0x7fffad58ab20
0x10a08, 0x7fffad58ab10, 0x7fffad58ab18
0x10a0a, 0x7fffad58ab08, 0x7fffad58ab10
0x10a0c, 0x7fffad58ab00, 0x7fffad58ab08
0x10a0d, 0x7fffad58aaf8, 0x7fffad58ab00
0x10a4c, 0x7fffad58aac8, 0x7fffad58aad0
0x10a5d, 0x55bbef9a14f0, 0x7fffad58aad0
0x10a66, 0x55bbef9a14dc, 0x7fffad58aad0
0x10a7c, 0x55bbef9a14f8, 0x7fffad58aad0
0x10a90, 0x7fffad58aac8, 0x7fffad58aad0
0x10ac0, 0x7fffad58aac8, 0x7fffad58aad0
0xf980, 0x7fffad58aac0, 0x7fffad58aac8
