Main Image Loaded: /binary/FoxDec/foxdec/examples/wc/wc, Base Address: 0x562cdd2ad000
0x45de, 0x562cdeb68318, 0x7ffdea6e3b00
0x2cb5, 0x7ffdea6e3b30, 0x7ffdea6e3b20
0x2cc1, 0x7ffdea6e3b38, 0x7ffdea6e3b20
0x2cc6, 0x7ffdea6e3b18, 0x7ffdea6e3b20
0x2bfc, 0x7ffdea6e3b38, 0x7ffdea6e3b20
0x2c01, 0x7ffdea6e3b30, 0x7ffdea6e3b20
0x2c06, 0x7ffdea6e3b18, 0x7ffdea6e3b20
0x2c25, 0x7ffdea6e3b48, 0x7ffdea6e3b20
0x2c2a, 0x7ffdea6e3b38, 0x7ffdea6e3b20
0x2c2e, 0x7ffdea6e3b18, 0x7ffdea6e3b20
0x3650, 0x7ffdea6e3b10, 0x7ffdea6e3b18
0x3652, 0x7ffdea6e3b08, 0x7ffdea6e3b10
0x3654, 0x7ffdea6e3b00, 0x7ffdea6e3b08
0x3656, 0x7ffdea6e3af8, 0x7ffdea6e3b00
0x3658, 0x7ffdea6e3af0, 0x7ffdea6e3af8
0x3659, 0x7ffdea6e3ae8, 0x7ffdea6e3af0
0x3669, 0x7ffdea6e2ae8, 0x7ffdea6e2ae8
0x3669, 0x7ffdea6e1ae8, 0x7ffdea6e1ae8
0x3669, 0x7ffdea6e0ae8, 0x7ffdea6e0ae8
0x3669, 0x7ffdea6dfae8, 0x7ffdea6dfae8
0x3677, 0x7ffdea6dfa8c, 0x7ffdea6dfa70
0x3681, 0x7ffdea6dfaa8, 0x7ffdea6dfa70
0x368f, 0x7ffdea6e3ad8, 0x7ffdea6dfa70
0x3699, 0x7ffdea6dfab8, 0x7ffdea6dfa70
0x36a7, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x385a, 0x7ffdea6dfab3, 0x7ffdea6dfa70
0x3755, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x375a, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x3927, 0x7ffdea6dfa90, 0x7ffdea6dfa70
0x3937, 0x7ffdea6dfa70, 0x7ffdea6dfa70
0x395c, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x7014, 0x7ffdea6dfa60, 0x7ffdea6dfa68
0x7019, 0x7ffdea6dfa58, 0x7ffdea6dfa60
0x701b, 0x7ffdea6dfa50, 0x7ffdea6dfa58
0x701f, 0x7ffdea6dfa48, 0x7ffdea6dfa50
0x7039, 0x7ffdea6dfa38, 0x7ffdea6dfa40
0x397b, 0x7ffdea6dfa90, 0x7ffdea6dfa70
0x3987, 0x7ffdea6dfa80, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39b8, 0x7ffdea6dfa78, 0x7ffdea6dfa70
0x39bd, 0x7ffdea6dfa68, 0x7ffdea6dfa70
0x39e9, 0x7ffdea6dfa68, 0x7ffdea6dfa70
