Main Image Loaded: /binary/FoxDec/foxdec/examples/tar/tar, Base Address: 0x55b7b7c89000
0xacf5, 0x7fffadace8a8, 0x7fffadace8b0
0xad09, 0x7fffadace920, 0x7fffadace8b0
0xad15, 0x7fffadace930, 0x7fffadace8b0
0xad1e, 0x55b7b7d08bd8, 0x7fffadace8b0
0xad28, 0x7fffadace8e0, 0x7fffadace8b0
0xad30, 0x7fffadace8e8, 0x7fffadace8b0
0xad39, 0x7fffadace8f0, 0x7fffadace8b0
0xad42, 0x7fffadace8f8, 0x7fffadace8b0
0xad4b, 0x7fffadace928, 0x7fffadace8b0
0xad54, 0x7fffadace932, 0x7fffadace8b0
0xad5c, 0x7fffadace938, 0x7fffadace8b0
0xad68, 0x7fffadace940, 0x7fffadace8b0
0xad74, 0x55b7b7d08bd0, 0x7fffadace8b0
0xad7b, 0x55b7b7d08bc8, 0x7fffadace8b0
0xad82, 0x7fffadace8a8, 0x7fffadace8b0
0xad8e, 0x7fffadace938, 0x7fffadace8b0
0xad96, 0x7fffadace8a8, 0x7fffadace8b0
0xada5, 0x55b7b7d08578, 0x7fffadace8b0
0xadaf, 0x55b7b7d082a4, 0x7fffadace8b0
0xadbc, 0x55b7b7d08768, 0x7fffadace8b0
0xadc3, 0x55b7b7d08530, 0x7fffadace8b0
0xadcd, 0x55b7b7d08550, 0x7fffadace8b0
0xadd8, 0x7fffadace8a8, 0x7fffadace8b0
0xade6, 0x55b7b7d087e8, 0x7fffadace8b0
0xadf7, 0x55b7b7d08778, 0x7fffadace8b0
0xae01, 0x55b7b7d08790, 0x7fffadace8b0
0xae08, 0x55b7b7d08798, 0x7fffadace8b0
0xae13, 0x55b7b7d07ef0, 0x7fffadace8b0
0xae1a, 0x55b7b7d07ef8, 0x7fffadace8b0
0xae25, 0x55b7b7d08774, 0x7fffadace8b0
0xae2f, 0x55b7b7d088e8, 0x7fffadace8b0
0xae36, 0x55b7b7d08ca4, 0x7fffadace8b0
0xae40, 0x55b7b7d08ca0, 0x7fffadace8b0
0xae4a, 0x55b7b7d0876c, 0x7fffadace8b0
0xae54, 0x55b7b7d07eb0, 0x7fffadace8b0
0xae5e, 0x55b7b7d07ea8, 0x7fffadace8b0
